[16.006554  9.417449 16.006554]

image : 42
[9.293733  3.9962554 9.293733 ]
[14.189444   3.8682203 14.189444 ]

image : 43
[46.581505 38.377254 46.581505]
[47.957516 40.94649  47.957516]

image : 44
[43.993008 39.37508  43.993008]
[44.69937 39.57774 44.69937]

image : 45
[49.482086 43.19866  49.482086]
[51.46608  46.316772 51.46608 ]

image : 46
[23.840622    0.02797646 23.840622  ]
[39.54467  0.      39.54467]

image : 47
[27.219364 25.39974  27.219364]
[23.33898  21.783463 23.33898 ]

image : 48
[62.09877 47.01051 62.09877]
[64.047966 50.957825 64.047966]

image : 49
[28.072863 19.891228 28.072863]
[33.588722 30.392895 33.588722]

image : 50
[50.265015 27.80143  50.265015]
[54.344994 24.118855 54.344994]

image : 51
[55.029514 25.471676 55.029514]
[53.508305 24.124763 53.508305]

image : 52
[56.309303 25.583889 56.309303]
[59.516922 23.963034 59.516922]

image : 53
[69.323944 22.409582 69.323944]
[66.54675  28.412659 66.54675 ]

image : 54
[55.60871 19.58272 55.60871]
[61.19853 21.7888  61.19853]

image : 55
[67.071815 34.030247 67.071815]
[70.77279 23.0595  70.77279]

image : 56
[34.97745  26.087847 34.97745 ]
[31.52304  22.619047 31.52304 ]

image : 57
[39.093494 30.641838 39.093494]
[43.054592 32.55107  43.054592]

image : 58
[54.31351  19.5602    8.413118]
[52.21009  25.462948 52.21009 ]

image : 59
[55.43116  22.444038  8.418113]
[55.549797 30.816008 55.549797]

image : 60
[13.431456    0.02797646  4.808031  ]
[17.452492   0.         6.1535473]

image : 61
[19.948954 17.658453 19.948954]
[28.911604 18.140713 28.911604]

image : 62
[26.14152  14.778578 26.14152 ]
[35.868637 17.307499 35.868637]

image : 63
[31.819036 18.693293 31.819036]
[42.280933 25.54271  42.280933]

image : 64
[29.078957 17.988455 29.078957]
[35.12691  24.566347 35.12691 ]

image : 65
[24.145977 19.067514 24.145977]
[33.554867 22.949717 33.554867]

image : 66
[32.459423 27.678461 32.459423]
[41.76281  36.113503 41.76281 ]

image : 67
[22.749735 21.839283 22.749735]
[30.782782 26.018162 30.782782]

image : 68
[43.708492 19.165539 43.708492]
[44.12335  16.449045 44.12335 ]

image : 69
[58.54345  18.554543 58.54345 ]
[58.91223  20.254545 33.226894]

image : 70
[62.917053 18.573647 62.917053]
[65.85766  23.354887 65.85766 ]

image : 71
[67.55878  23.645557 67.55878 ]
[65.3261  18.93646 65.3261 ]

image : 72
[50.374622 30.969337 50.374622]
[49.088364 30.213717 49.088364]

image : 73
[58.986134 33.938393 58.986134]
[59.096226 34.551174 59.096226]

image : 74
[31.41869  19.999401 31.41869 ]
[31.406805 17.616884 31.406805]

image : 75
[41.35326  20.532932 41.35326 ]
[37.500076 16.449879 37.500076]

image : 76
[27.976229 14.31874  27.976229]
[30.36745  18.699718 30.36745 ]

image : 77
[49.482895 28.564566 49.482895]
[47.205997 20.606949 47.205997]

image : 78
[53.20956  25.881662 53.20956 ]
[58.790524 25.708408 58.790524]

image : 79
[55.456997 29.894417 55.456997]
[60.00754  21.900698 28.0643  ]

image : 80
[60.34981  23.187714 23.832949]
[62.853615 26.722898 25.9466  ]

image : 81
[58.31719  14.392622 58.31719 ]
[62.48345 20.00604 62.48345]

image : 82
[46.297462 24.498953 46.297462]
[40.022102 14.955922 40.022102]

image : 83
[40.644096 10.361621  0.      ]
[48.059258 14.640654  0.      ]

image : 84
[51.90113  33.401382 51.90113 ]
[43.603584 15.280214  0.      ]

image : 85
[40.874367 20.469412 40.874367]
[44.03144  18.532484  0.      ]

image : 86
[30.732624 23.925756 30.732624]
[50.772293 26.38756  50.772293]

image : 87
[37.11986  28.129799 37.11986 ]
[50.218945 36.090797 50.218945]

image : 88
[39.909863 23.45817  39.909863]
[53.845047 32.720646 53.845047]

image : 89
[43.932404 27.725607 43.932404]
[40.6011   28.816107 40.6011  ]

image : 90
[45.424225 18.977396 45.424225]
[43.718483 31.776157 43.718483]

image : 91
[26.232542 15.531359 26.232542]
[28.27825  22.202755 28.27825 ]

image : 92
[27.598951 18.38375  27.598951]
[26.25849  13.555539 26.25849 ]

image : 93
[11.726825   3.4050183 11.726825 ]
[12.784335   5.2279844 12.784335 ]

image : 94
[9.19396   2.1550405 3.7115653]
[14.025739  2.314353  5.122505]

image : 95
[10.438937  3.990469  0.      ]
[11.287775   2.2182322 11.287775 ]

image : 96
[15.948216   5.1747556 15.948216 ]
[16.796572  0.       16.796572]

image : 97
[24.857166 24.34758  24.857166]
[28.399126 26.691887 28.399126]

image : 98
[17.056578   0.1619255 17.056578 ]
[19.320854    0.04845664 19.320854  ]

image : 99
[19.023151 15.760972 19.023151]
[19.953197 17.482824 19.953197]

image : 100
[21.704533 19.055416 21.704533]
[20.4088   15.746356 20.4088  ]

image : 101
[23.321991 16.173693 23.321991]
[20.490107 20.437965 20.490107]

image : 102
[22.780157 17.075916 22.780157]
[25.651186 18.788807 25.651186]

image : 103
[24.03159  18.087406 24.03159 ]
[22.152073 17.918734 22.152073]

image : 104
[24.763939 18.229479 24.763939]
[28.507774 23.224436 28.507774]

image : 105
[30.205563 24.566889 30.205563]
[33.573654 27.285614 33.573654]

image : 106
[31.89407  28.830153 31.89407 ]
[33.53694 27.69424 33.53694]

image : 107
[34.89286 26.94881 34.89286]
[37.488914 26.648619 37.488914]

image : 108
[11.203824  8.951113 11.203824]
[11.636417  9.664669 11.636417]

image : 109
[19.160765   3.7893057  5.3042626]
[18.918455   2.1908882  7.7504606]

image : 110
[22.240013 21.30659  22.240013]
[19.310335 18.304527 19.310335]

image : 111
[14.327201 12.451816 14.327201]
[18.953827 10.475779 18.953827]

image : 112
[35.606953  14.862649  13.0155525]
[41.63677  17.304031 41.63677 ]

image : 113
[26.509872 18.639032 26.509872]
[24.306063 15.077578 24.306063]

image : 114
[20.0906   14.338252 20.0906  ]
[19.757643 13.773267 19.757643]

image : 115
[34.103577 18.4209   34.103577]
[39.92502  18.158363 18.518404]

image : 116
[33.379192 17.56305  33.379192]
[38.147556 21.958454 16.20434 ]

image : 117
[34.30867  22.486776 34.30867 ]
[33.680126 24.611357 14.390438]

image : 118
[21.359478 19.999023 21.359478]
[23.917267 22.09724  23.917267]

image : 119
[31.654417 19.5303   31.654417]
[30.089725 18.00542  30.089725]

image : 120
[40.845528 17.57806  20.979906]
[47.904736 20.723932 47.904736]

image : 121
[44.98711  21.435469 44.98711 ]
[42.40397  22.014032 42.40397 ]

image : 122
[43.433277 19.643316 43.433277]
[43.08949  19.37314  22.701086]

image : 123
[6.50204   1.2154702 6.50204  ]
[11.129531   1.3697366 11.129531 ]

image : 124
[7.627637  5.7764845 7.627637 ]
[8.030768  5.5955906 8.030768 ]

image : 125
[70.26828  29.288265 11.035957]
[68.97902  31.190302 37.14949 ]

image : 126
[43.433926 35.867954 43.433926]
[43.78828  36.180016 43.78828 ]

image : 127
[47.1185   41.317493 47.1185  ]
[46.746548 40.56206  46.746548]

image : 128
[37.979885 12.56773  37.979885]
[39.313305 38.266438 39.313305]

